chr	start	stop	window	rec_rate	callable	n_ins	theta_ins	pi_ins	tajd_ins	n_del	theta_del	pi_del	tajd_del	total_length	n_indel	n_callable	indel_type
chr10	4000000	6000000	2	1.42191167192	1333681	715	0.000151113176578	0.00013117237575	-0.55225972868	838	0.000177108869891	0.000155947494586	-0.500267416707	10626	2401	1510035	insertion
chr10	4000000	6000000	2	1.42191167192	1333681	715	0.000151113176578	0.00013117237575	-0.55225972868	838	0.000177108869891	0.000155947494586	-0.500267416707	19099	4593	1510035	deletion
chr10	6000000	8000000	3	1.30968924816	1380702	709	0.000144741989786	0.00013080683823	-0.402910888775	965	0.000197004259722	0.000162278243051	-0.738291202589	11479	2645	1560728	insertion
chr10	6000000	8000000	3	1.30968924816	1380702	709	0.000144741989786	0.00013080683823	-0.402910888775	965	0.000197004259722	0.000162278243051	-0.738291202589	19943	4899	1560728	deletion
chr10	8000000	10000000	4	1.45983241142	1525807	701	0.000129499076807	0.000117708202938	-0.38102708227	940	0.000173650687873	0.000154234171784	-0.46829213224	9902	2369	1549898	insertion
chr10	8000000	10000000	4	1.45983241142	1525807	701	0.000129499076807	0.000117708202938	-0.38102708227	940	0.000173650687873	0.000154234171784	-0.46829213224	19988	4873	1549898	deletion
chr10	10000000	12000000	5	1.92009740111	1457132	837	0.000161910427534	0.000154387631247	-0.194536797919	1132	0.000218975631982	0.000194325493323	-0.471647724641	10616	2572	1650454	insertion
chr10	10000000	12000000	5	1.92009740111	1457132	837	0.000161910427534	0.000154387631247	-0.194536797919	1132	0.000218975631982	0.000194325493323	-0.471647724641	20751	4917	1650454	deletion
chr10	12000000	14000000	6	2.65081008037	1452075	721	0.000139956951344	0.000132460172693	-0.224178732708	1009	0.000195862085861	0.00017623419118	-0.419773268426	8772	2139	1606576	insertion
chr10	12000000	14000000	6	2.65081008037	1452075	721	0.000139956951344	0.000132460172693	-0.224178732708	1009	0.000195862085861	0.00017623419118	-0.419773268426	19645	4381	1606576	deletion
chr10	14000000	16000000	7	3.58761413959	1761582	783	0.000125287330397	0.000118995909717	-0.210213378159	1130	0.000180810578989	0.000158855416384	-0.508751256279	9243	2377	1794590	insertion
chr10	14000000	16000000	7	3.58761413959	1761582	783	0.000125287330397	0.000118995909717	-0.210213378159	1130	0.000180810578989	0.000158855416384	-0.508751256279	18248	4058	1794590	deletion
chr10	16000000	18000000	8	4.82176632367	1830657	791	0.000121791719011	0.000110682149978	-0.381865599941	972	0.00014966062058	0.000128458339216	-0.593376727223	8465	2276	1684865	insertion
chr10	16000000	18000000	8	4.82176632367	1830657	791	0.000121791719011	0.000110682149978	-0.381865599941	972	0.00014966062058	0.000128458339216	-0.593376727223	18404	4034	1684865	deletion
chr10	18000000	20000000	9	6.20091933789	888480	505	0.000160210870216	0.000143645682277	-0.432169892643	596	0.00018908055178	0.000160848332338	-0.624504512861	13325	2778	1082814	insertion
chr10	18000000	20000000	9	6.20091933789	888480	505	0.000160210870216	0.000143645682277	-0.432169892643	596	0.00018908055178	0.000160848332338	-0.624504512861	22448	4206	1082814	deletion
chr11	2000000	4000000	12	7.49170206709	1371989	812	0.000166822128165	0.000161463623826	-0.134478285194	1009	0.000207294984382	0.000191730860509	-0.314504830022	12430	2714	1567686	insertion
